id,source_path,source_lines,fact_category,status,destination_owners,evidence,disposition_rationale,verification,rollback_commit
gotchas-environment-tooling,.agents/memory/state/GOTCHAS.md,12-18,Environment and Tooling,migrated,"aria_nbv/AGENTS.md;.agents/references/operator_quick_reference.md;.agents/skills/lrz-ai-systems/SKILL.md","package verification commands;operator recovery;remote compute workflow",Portable verification stays in package guidance and host-specific recovery stays in operator references; dated workstation CUDA history is historical.,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
gotchas-training-validation,.agents/memory/state/GOTCHAS.md,19-23,Training and Validation,already_owned,"aria_nbv/AGENTS.md;aria_nbv/aria_nbv/lightning;aria_nbv/tests/lightning","package verification contract;Lightning implementation and tests",Validation configuration and evidence expectations are executable package contracts.,cd aria_nbv && uv run pytest tests/lightning,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
gotchas-vin-offline,.agents/memory/state/GOTCHAS.md,24-29,VIN Offline Stores and Splits,already_owned,"aria_nbv/aria_nbv/data_handling/AGENTS.md;aria_nbv/aria_nbv/data_handling/offline;aria_nbv/tests/data_handling/test_vin_offline_store.py","data owner guide;offline implementation;strict store tests",Store split index and batch semantics are owned by the data package and tests.,cd aria_nbv && uv run pytest tests/data_handling/test_vin_offline_store.py,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
gotchas-frames-geometry,.agents/memory/state/GOTCHAS.md,30-34,Frames and Geometry,already_owned,"aria_nbv/AGENTS.md;aria_nbv/aria_nbv/vin/AGENTS.md;aria_nbv/aria_nbv/rendering;aria_nbv/tests/rendering","package and VIN frame rules;rendering implementation and tests",Pose Camera frame and shape contracts already resolve through nearest guidance code docstrings and tests.,cd aria_nbv && uv run pytest tests/rendering,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
gotchas-evl-obb,.agents/memory/state/GOTCHAS.md,35-39,EVL OBB,already_owned,"aria_nbv/aria_nbv/targets;aria_nbv/aria_nbv/oracle;aria_nbv/aria_nbv/rollouts/AGENTS.md;aria_nbv/tests/oracle/test_target_selection.py","target and oracle implementation;hard-mask owner guide;target tests",Current target validity and target-RRI cost rules are owned by code tests and rollout guidance.,cd aria_nbv && uv run pytest tests/oracle/test_target_selection.py,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
gotchas-config-pydantic,.agents/memory/state/GOTCHAS.md,40-43,Config and Pydantic,already_owned,"aria_nbv/AGENTS.md;aria_nbv/aria_nbv/utils/base_config.py;aria_nbv/tests/test_config_field_constraints.py","config-as-factory package rule;config implementation and tests",Computed defaults and validators are package conventions with executable examples.,cd aria_nbv && uv run pytest tests/test_config_field_constraints.py,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
gotchas-litkg,.agents/memory/state/GOTCHAS.md,44-55,litkg Knowledge Graph,already_owned,".configs/litkg.toml;.agents/external/litkg-rs;.agents/references/litkg_quick_reference.md;.agents/todos.toml","live config and implementation;operator reference;validated backlog",Current LitKG operation remains source-owned until WP6; credentials workstation tunnel and dated runtime probes are not promoted.,make kg-capabilities,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
questions-advisor-deferred,.agents/memory/state/OPEN_QUESTIONS.md,12-16,Advisor-Facing Deferred Decisions,already_owned,"docs/contents/thesis/questions.qmd;docs/typst/thesis/sections/05-experimental-design","advisor-facing questions and experimental-design owners",Held-out split effect threshold and fallback remain explicit thesis decisions rather than agent state.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
questions-target-matching,.agents/memory/state/OPEN_QUESTIONS.md,17-21,Target and Matching Details,already_owned,"docs/contents/thesis/questions.qmd;aria_nbv/aria_nbv/targets;aria_nbv/aria_nbv/oracle/target_selection.py","RQ3 target contract;target and oracle owners",Ambiguity matching and actor-visible descriptor questions already live with RQ3 and its implementation owners.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
questions-qh-offline-rl,.agents/memory/state/OPEN_QUESTIONS.md,22-31,Q_H and Offline RL Details,already_owned,"docs/contents/thesis/questions.qmd;docs/typst/thesis/sections/04-method;docs/typst/thesis/sections/05-experimental-design","RQ1 RQ2 and method design sources",Horizon gamma clipping penalties IQL and online-bridge choices remain explicit thesis questions.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
questions-storage-scale,.agents/memory/state/OPEN_QUESTIONS.md,32-37,Storage Scale and Reporting,already_owned,"docs/contents/thesis/questions.qmd;docs/contents/thesis/roadmap.qmd;.agents/todos.toml;.agents/skills/lrz-ai-systems/SKILL.md","RQ4 and roadmap;validated backlog;LRZ workflow",Storage scale retention and CI decisions already resolve through thesis backlog and operational owners.,make agents-db AGENTS_ARGS='validate',57457ec31e0d3b56da7cb6ebdbb9fde6166de434
questions-representation-ablation,.agents/memory/state/OPEN_QUESTIONS.md,38-43,Representation and Ablation Questions,already_owned,"docs/contents/thesis/questions.qmd;docs/typst/thesis/sections/04-method;docs/typst/thesis/sections/07-discussion.typ","RQ3 method and discussion sources",Representation and ablation uncertainties remain source-backed thesis questions.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
questions-recently-locked,.agents/memory/state/OPEN_QUESTIONS.md,44-50,Recently Locked Decisions,discarded_duplicate,"docs/contents/thesis/questions.qmd;docs/contents/thesis/roadmap.qmd;aria_nbv/aria_nbv/rollouts/AGENTS.md","thesis boundary and roadmap;hard-mask package rule",Locked statements duplicate current owners and are not open questions; no copy is promoted.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-goal-core-claim,.agents/memory/state/PROJECT_STATE.md,12-14,Goal and Core Claim,already_owned,"docs/typst/thesis/main.typ;docs/typst/thesis/sections/01-introduction.typ;docs/contents/thesis/questions.qmd","thesis abstract introduction and RQs",The project goal and calibrated claim are owned by the active thesis.,cd docs && typst compile typst/thesis/main.typ --root .,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-current-thesis-spine,.agents/memory/state/PROJECT_STATE.md,15-21,Current Thesis Spine,already_owned,"docs/typst/thesis/main.typ;docs/contents/thesis/questions.qmd;docs/contents/thesis/roadmap.qmd","active thesis abstract RQs and roadmap",Current scientific direction already resolves through active thesis sources; dated implementation summaries are not promoted.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-ranked-priorities,.agents/memory/state/PROJECT_STATE.md,22-33,Ranked Priorities and Meeting Decisions,already_owned,"docs/contents/thesis/roadmap.qmd;docs/contents/thesis/questions.qmd;docs/typst/thesis/sections/05-experimental-design","roadmap priorities RQ boundaries and experiment design",Priority and scope decisions are already owned by current roadmap questions and thesis design.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-current-issues,.agents/memory/state/PROJECT_STATE.md,34-42,Current Issues and Blockers,migrated,".agents/issues.toml;.agents/todos.toml;.agents/refactors.toml;docs/typst/thesis/sections/07-discussion.typ","validated agents DB;current thesis limitations",Actionable current blockers remain in the validated backlog and thesis evidence limitations; dated local-store and tooling snapshots are historical.,make agents-db AGENTS_ARGS='validate',57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-near-term-next-steps,.agents/memory/state/PROJECT_STATE.md,43-63,Near-Term Next Steps,already_owned,"docs/contents/thesis/roadmap.qmd;docs/contents/thesis/questions.qmd;aria_nbv/aria_nbv/data_handling/AGENTS.md;aria_nbv/aria_nbv/rollouts/AGENTS.md;.agents/todos.toml","roadmap and RQs;package owners;validated backlog",Current source-backed next steps already resolve through roadmap package contracts and backlog; the LitKG snapshot remains subsystem-owned.,make agents-db AGENTS_ARGS='validate',57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-deferred-extensions,.agents/memory/state/PROJECT_STATE.md,64-71,Deferred but Important Extensions,already_owned,"docs/contents/thesis/questions.qmd;docs/contents/thesis/roadmap.qmd;docs/typst/thesis/sections/07-discussion.typ","thesis boundary roadmap and discussion",Deferred hierarchy continuous control semantic planning and deployment are already bounded in thesis owners.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-pointers,.agents/memory/state/PROJECT_STATE.md,72-76,Pointers,discarded_stale,".agents/references/source_order.md;docs/contents/thesis/roadmap.qmd;docs/contents/thesis/questions.qmd;.agents/AGENTS_INTERNAL_DB.md","new source-order ladder;active thesis owners;agents DB owner",Pointers to sibling journals are stale; surviving archive thesis and backlog routes are owned directly.,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
project-litkg-infrastructure,.agents/memory/state/PROJECT_STATE.md,77-84,litkg Infrastructure State 2026-05-13,discarded_historical,".configs/litkg.toml;.agents/external/litkg-rs;.agents/todos.toml;.agents/resolved.toml","live LitKG config and code;active and resolved DB records",The dated runtime probe and todo snapshot are historical; current capability and debt remain with the live subsystem and agents DB until WP6.,make kg-capabilities,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
