id,category,surface,paths,owner,status,disposition,verification,rollback_commit
skill-agent-behavior,skill,agent-behavior,.agents/skills/agent-behavior/SKILL.md,root AGENTS.md,retire,Move lane and verification invariants to root guidance,WP5 source owner ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-agents-db,skill,agents-db,.agents/skills/agents-db/SKILL.md,agents DB workflow,retain,Retain as one of eight project operational skills,skill validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-aria-litkg-memory,skill,aria-litkg-memory,.agents/skills/aria-litkg-memory/SKILL.md,LitKG subsystem,retire,Remove with LitKG and route navigation to Graphify plus exact owners,zero LitKG active references,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-aria-nbv-context,skill,aria-nbv-context,.agents/skills/aria-nbv-context/SKILL.md,targeted local discovery,retain,Retain and narrow to exact source fallback commands,skill validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-aria-nbv-mermaid,skill,aria-nbv-mermaid,.agents/skills/aria-nbv-mermaid/SKILL.md,merged aria-docs skill,migrate,Merge project diagram workflow into aria-docs,WP5 routing fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-code-review,skill,code-review-aria-nbv,.agents/skills/code-review-aria-nbv/SKILL.md,generic code review plus source owners,retire,Use generic review harness with root ARIA constraints,WP5 routing fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-counterfactual,skill,counterfactual-rollout-planner,.agents/skills/counterfactual-rollout-planner/SKILL.md,rollout package and thesis owners,retire,Move stable finite candidate contracts to package guides tests and thesis,WP5 source owner ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-dataset,skill,dataset-cache-ops,.agents/skills/dataset-cache-ops/SKILL.md,dataset operations workflow,retain,Retain as one of eight project operational skills,skill validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-diagnose,skill,diagnose-aria,.agents/skills/diagnose-aria/SKILL.md,generic diagnosing plus exact owners,retire,Use selected diagnostic skill and root verification routes,WP5 routing fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-docs-curator,skill,docs-curator,.agents/skills/docs-curator/SKILL.md,merged aria-docs skill,migrate,Merge public docs workflow into aria-docs,WP5 routing fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-entity-rri,skill,entity-aware-rri,.agents/skills/entity-aware-rri/SKILL.md,target and RRI package owners,retire,Move stable entity contracts to nearest guides tests and docs,WP5 source owner ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-lrz,skill,lrz-ai-systems,.agents/skills/lrz-ai-systems/SKILL.md,LRZ operations workflow,retain,Retain as one of eight project operational skills,skill validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-geometry,skill,nbv-geometry-contracts,.agents/skills/nbv-geometry-contracts/SKILL.md,geometry package owners and tests,retire,Move frame and projection contracts to nearest guides docstrings and tests,WP5 source owner ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-plan-grill,skill,plan-grill,.agents/skills/plan-grill/SKILL.md,ARIA planning workflow,retain,Retain as one of eight project operational skills,skill validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-docstrings,skill,python-docstrings,.agents/skills/python-docstrings/SKILL.md,Python docstring workflow,retain,Retain as one of eight project operational skills,skill validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-rerun,skill,rerun-nbv-inspector,.agents/skills/rerun-nbv-inspector/SKILL.md,Rerun inspection workflow,retain,Retain as one of eight project operational skills,skill validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-semantic-scholar,skill,semantic-scholar-litkg,.agents/skills/semantic-scholar-litkg/SKILL.md,LitKG subsystem,retire,Remove with LitKG and use external research tooling when explicitly needed,zero LitKG active references,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-simplification,skill,simplification,.agents/skills/simplification/SKILL.md,generic codebase design skills,retire,Use selected generic engineering skills with root constraints,WP5 routing fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-typst,skill,typst-authoring,.agents/skills/typst-authoring/SKILL.md,merged aria-docs skill,migrate,Merge project Typst workflow into aria-docs and retain exact docs owners,WP5 routing fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-zarr,skill,zarr-python,.agents/skills/zarr-python/SKILL.md,offline storage package owners,retire,Move project contracts to package guides tests and docstrings,WP5 source owner ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-decisions,state-journal,DECISIONS.md,.agents/memory/state/DECISIONS.md,source backed owners,migrate,Salvage current facts by heading then remove journal,WP4 salvage ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-gotchas,state-journal,GOTCHAS.md,.agents/memory/state/GOTCHAS.md,source backed owners,migrate,Salvage current facts by category then remove journal,WP4 salvage ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-questions,state-journal,OPEN_QUESTIONS.md,.agents/memory/state/OPEN_QUESTIONS.md,thesis questions and agents DB,migrate,Move current questions to thesis or actionable backlog then remove journal,WP4 salvage ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-project,state-journal,PROJECT_STATE.md,.agents/memory/state/PROJECT_STATE.md,source backed owners,migrate,Salvage current facts by category then remove journal,WP4 salvage ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-consumer-guidance,state-consumer,authority-and-routing,AGENTS.md;CLAUDE.md;docs/AGENTS.md,.agents source precedence,migrate,Remove journal authority and point to exact source owners,active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-consumer-backlog,state-consumer,agents-db-records,.agents/AGENTS_INTERNAL_DB.md;.agents/issues.toml;.agents/todos.toml;.agents/refactors.toml;.agents/resolved.toml,agents DB,migrate,Replace journal links with exact owner evidence or historical labels,make agents-db,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-consumer-references,state-consumer,reference-routes,.agents/references/agent_memory_templates.md;.agents/references/alignment_tools_contract.md;.agents/references/human_owner_intent.md;.agents/references/mattpocock_skills_contract.md;.agents/references/omx_quick_reference.md;.agents/references/operator_quick_reference.md;.agents/references/source_order.md;.agents/references/worktree_policy.md,reference owners,migrate,Remove promotion and current truth routes to journals,active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-consumer-skills,state-consumer,skill-routes,.agents/skills/agents-db/SKILL.md;.agents/skills/aria-nbv-context/references/context_map.md;.agents/skills/aria-nbv-context/scripts/nbv_context_index.sh;.agents/skills/counterfactual-rollout-planner/SKILL.md;.agents/skills/dataset-cache-ops/SKILL.md;.agents/skills/diagnose-aria/SKILL.md;.agents/skills/docs-curator/SKILL.md;.agents/skills/nbv-geometry-contracts/SKILL.md;.agents/skills/plan-grill/SKILL.md;.agents/skills/semantic-scholar-litkg/references/integration-spec.md,retained skills and exact owners,migrate,Replace journal reads with source owner routes,WP4 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-consumer-claude,state-consumer,claude-routes,.claude/agents/aria-debrief-writer.md;.claude/agents/aria-diagnoser.md;.claude/agents/aria-plan-grill.md;.claude/agents/aria-reviewer.md;.claude/commands/debrief.md,root guidance and retained commands,migrate,Remove journal writes and reads from compatibility surfaces,WP4 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
state-consumer-tools,state-consumer,producer-and-hook-routes,.configs/litkg.toml;.graphifyignore;scripts/codex_transcript_extract.py;scripts/git_hooks/post-commit;scripts/kg/auto_refresh.sh;scripts/kg/ingest_docs.sh;scripts/new_debrief.py;scripts/quarto_generate_agent_docs.py,exact source owners,migrate,Remove journal promotion indexing and graph corpus routes before deletion,WP4 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-light,context-producer,make-context,Makefile:594-614,targeted source discovery,retire,Remove aggregate generated context target and ignored outputs in WP6,zero retired context routes,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-index,context-producer,context-index,scripts/nbv_context_index.sh;.agents/skills/aria-nbv-context/scripts/nbv_context_index.sh;Makefile:148-149,targeted source discovery,retire,Remove broad generated source index while retaining stdout lookup,zero retired context routes,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-literature,context-producer,context-literature-index,scripts/nbv_literature_index.sh;.agents/skills/aria-nbv-context/scripts/nbv_literature_index.sh;Makefile:190-191,targeted literature source lookup,migrate,Retain bounded stdout search and remove generated index output,WP6 exact source fallback,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-contracts,context-producer,context-contracts,aria_nbv/scripts/get_context.py;scripts/nbv_get_context.sh;.agents/skills/aria-nbv-context/scripts/get_context.py;.agents/skills/aria-nbv-context/scripts/nbv_get_context.sh;Makefile:162-179,targeted contract inspection,retain,Keep bounded source reading commands that write to stdout,WP6 exact source fallback,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-outlines,context-producer,bounded-source-outlines,scripts/nbv_literature_search.sh;scripts/nbv_qmd_outline.sh;.agents/skills/aria-nbv-context/scripts/nbv_literature_search.sh;.agents/skills/aria-nbv-context/scripts/nbv_qmd_outline.py;.agents/skills/aria-nbv-context/scripts/nbv_qmd_outline.sh;.agents/skills/aria-nbv-context/scripts/nbv_typst_includes.py;Makefile:181-198,targeted source discovery,retain,Keep bounded source outlines and searches that write to stdout,WP6 exact source fallback,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-uml,context-producer,context-uml,Makefile:617-646,targeted source discovery,retire,Remove broad generated UML bundle in WP6,zero retired context routes,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-docstrings,context-producer,context-docstrings,Makefile:648-658,package source and docstrings,retire,Remove duplicate full docstring bundle in WP6,zero retired context routes,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-tree,context-producer,context-tree,Makefile:660-678,targeted source discovery,migrate,Retain bounded stdout tree query and remove generated tree artifact,WP6 exact source fallback,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-producer-heavy,context-producer,context-heavy,Makefile:680-745,exact source plus Graphify navigation,retire,Remove aggregate heavyweight snapshot in WP6,zero retired context routes,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-consumer-guidance,context-consumer,guidance-consumers,AGENTS.md;aria_nbv/AGENTS.md;docs/AGENTS.md;.agents/references/human_owner_intent.md;.agents/references/source_order.md,root and exact source owners,migrate,Remove generated context authority and route to Graphify or exact sources,WP6 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-consumer-state,context-consumer,state-consumers,.agents/memory/state/DECISIONS.md;.agents/memory/state/GOTCHAS.md;.agents/memory/state/PROJECT_STATE.md,exact source owners,migrate,Remove generated context authority while salvaging current source backed facts,WP6 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-consumer-backlog,context-consumer,backlog-consumers,.agents/resolved.toml;.agents/todos.toml,agents DB owners,migrate,Replace generated context references with exact source evidence,WP6 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-consumer-skill,context-consumer,skill-consumers,.agents/skills/aria-nbv-context/SKILL.md;.agents/skills/aria-nbv-context/references/context_map.md;.agents/skills/code-review-aria-nbv/SKILL.md;.agents/skills/nbv-geometry-contracts/SKILL.md;.agents/skills/typst-authoring/references/claim-citation-discipline.md;.agents/skills/typst-authoring/references/workflow.md,retained context skill and exact owners,migrate,Keep bounded commands and remove generated file reads,WP6 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-consumer-claude,context-consumer,claude-command,.claude/commands/context-refresh.md,root guidance,migrate,Remove aggregate refresh command or narrow it to source reading,WP6 active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
context-consumer-kg,context-consumer,litkg-refresh,.configs/litkg.toml;Makefile:509-522,LitKG subsystem,retire,Remove context coupled LitKG refresh chain in WP6,zero LitKG active references,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
litkg-routing,litkg-capability,source-search-and-task-routing,.agents/skills/aria-litkg-memory/**;Makefile:356-450;scripts/kg/compact_search.jq;scripts/kg/compact_route.jq,Graphify plus exact source owners,retire,Replace navigation with fresh Graphify and fail closed exact source fallback,WP6 fallback tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
litkg-claims,litkg-capability,claim-checking,Makefile:421-449;.claude/commands/kg-claim-check.md;scripts/kg/compact_claim_check.jq,direct bibliography literature and thesis verification,retire,Retire command after direct source verification route is documented,WP6 claim fallback tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
litkg-provenance,litkg-capability,provenance-and-consolidation,Makefile:450-455;.agents/issues.toml;.agents/todos.toml;.agents/refactors.toml,source owners and OMX registry,retire,Keep provenance in source and accepted OMX registry only,WP6 capability disposition test,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
litkg-ingestion,litkg-capability,paper-ingestion-and-materialization,Makefile:456-506;scripts/kg/ingest_papers.sh;docs/literature/sources.jsonl,literature manifests and mirrors,migrate,Preserve manifests and section text while removing LitKG ingestion runtime,WP6 preserved literature tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
litkg-semantic-scholar,litkg-capability,semantic-scholar-enrichment,.agents/skills/semantic-scholar-litkg/**;Makefile:506-507,explicit external research tooling,retire,Remove project subsystem and use external research only when requested,zero LitKG active references,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
litkg-neo4j,litkg-capability,neo4j-runtime-export-and-mcp,.agents/external/litkg-rs;.configs/litkg.toml;scripts/kg/doctor.py;scripts/kg/install_mcp_profile.sh;scripts/kg/status.sh;Makefile:350-506,LitKG subsystem,retire,Remove submodule config runtime export and MCP wiring at rollback boundary,WP6 zero active surfaces,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
litkg-hooks,litkg-capability,auto-refresh-and-generated-docs,scripts/kg/auto_refresh.sh;scripts/kg/index_code.sh;scripts/kg/ingest_docs.sh;.agents/kg/README.md;.claude/settings.json;.codex/hooks.example.json;.gemini/settings.json;scripts/git_hooks/post-commit,LitKG subsystem,retire,Remove automatic refresh and generated KG docs routes,WP6 hook tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-codex-example,hook,codex-hook-template,.codex/hooks.example.json,portable local hook examples,migrate,Remove LitKG refresh and align retained validation hooks,hook contract tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-claude-settings,hook,claude-hooks,.claude/settings.json,Claude compatibility surface,migrate,Remove retired routes while preserving nonmutating checks,hook contract tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-gemini-settings,hook,gemini-hooks,.gemini/settings.json,Gemini compatibility surface,migrate,Remove retired routes while preserving nonmutating checks,hook contract tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-codex-plugin,hook,codex-plugin-hooks,.codex-plugin/hooks.json;.codex-plugin/hooks/mempal-hook.sh,repo local Codex plugin,migrate,Retain only portable nonblocking plugin hook behavior,hook contract tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-debrief-nudge,hook,debrief-nudge,scripts/debrief_nudge.sh,debrief workflow,retire,Remove automatic session nudge with mandatory debrief retirement,hook contract tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-post-commit,hook,git-post-commit,scripts/git_hooks/post-commit,Graphify code refresh,migrate,WP2 replaces current refresh with code only asynchronous state machine,graph commit fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-litkg-refresh,hook,litkg-auto-refresh,scripts/kg/auto_refresh.sh,LitKG subsystem,retire,Remove with LitKG active subsystem,zero LitKG active references,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
hook-install,hook,hook-installation,Makefile:783-812,root repository tooling,migrate,Install only final portable hook set,hook contract tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
graphify-policy,graphify,current-corpus-policy,.graphifyignore,WP2 unified Graphify contract,migrate,Replace current corpus with four tagged partitions,make graphify-integration-self-test,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
graphify-pin,graphify,current-version-pin,.codex/skills/graphify/.graphify_version,WP2 unified Graphify contract,migrate,Update repository pin from 0.9.20 to accepted 0.9.22,version fixture,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
graphify-skill,graphify,vendored-project-skill,.codex/skills/graphify/**,WP2 unified Graphify contract,migrate,Keep pinned capability needed by final graph workflow only,Graphify integration tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
graphify-scripts,graphify,current-refresh-and-freshness,scripts/check_graphify_freshness.py;scripts/check_graphify_integration.py;scripts/graphify_refresh.py;scripts/tests/test_graphify_freshness.py;scripts/tests/test_graphify_integration.py;scripts/tests/test_post_commit_graph_dispatch.sh,WP2 unified Graphify contract,migrate,Replace commit wide freshness with partition provenance and state machine,Graphify fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
graphify-output,graphify,current-local-output-policy,.gitignore:242,WP2 canonical graph artifacts,migrate,Current output is absent and ignored then WP2 tracks only canonical portable allowlist,deterministic regeneration test,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
omx-legacy-autoresearch,omx-candidate,legacy-measured-autoresearch,.omx/plans/measured-autoresearch-sidecar.md,Git history and WP1 registry,historical,Classify as historical or superseded before registry enforcement,WP1 recovery fixture,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
skill-measured-autoresearch,skill,measured-autoresearch,.agents/skills/measured-autoresearch/SKILL.md,retained ARIA operational skill,retain,Compact through progressive disclosure in WP5 while preserving helper and tests,WP5 skill fixtures,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
omx-legacy-thesis,omx-candidate,legacy-thesis-method-ledger,.omx/plans/thesis-method-registry-restoration-ledger.md,Git history and WP1 registry,historical,Classify as historical or superseded before registry enforcement,WP1 recovery fixture,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
