source,type,final_state,target_pr,disposition,owner,reason,verification
.agents/references/litkg_quick_reference.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/references/mattpocock_skills_contract.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/references/mattpocock_skills_manifest.toml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/references/omx_artifact_policy.md,path,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Reconstruct only the minimal authority, privacy, and accepted-evidence contract.","OMX registry, hash, redaction, transition, and memory checks"
.agents/references/omx_quick_reference.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/operator_quick_reference.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/scaffold_routing_fixtures.json,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/references/skill_prune_merge_verdict.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/skill_style_guide.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/source_order.md,path,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Reconstruct only the minimal authority, privacy, and accepted-evidence contract.","OMX registry, hash, redaction, transition, and memory checks"
.agents/references/thesis_code_links.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/verification_matrix.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/worktree_policy.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/resolved.toml,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/skills/agent-behavior/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/agent-behavior/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/agents-db/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/agents-db/references/provenance.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-docs/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-docs/references/figures-and-tables.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-docs/references/mermaid.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-docs/references/notation-and-math.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-docs/references/thesis-writing.md,path,transient-or-reverted,PR5,transient-or-reverted,Git history inventory,No final tree delta; preserve only the disposition record.,history/net set reconciliation
.agents/skills/aria-docs/references/typst-toolkit.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-docs/references/typst.md,path,transient-or-reverted,PR5,transient-or-reverted,Git history inventory,No final tree delta; preserve only the disposition record.,history/net set reconciliation
.agents/skills/aria-docs/references/visuals.md,path,transient-or-reverted,PR5,transient-or-reverted,Git history inventory,No final tree delta; preserve only the disposition record.,history/net set reconciliation
.agents/skills/aria-docs/references/workflow.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-docs/references/writing-and-claims.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-litkg-memory/SKILL.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/skills/aria-litkg-memory/agents/openai.yaml,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/skills/aria-nbv-context/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/references/context_map.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/get_context.py,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/nbv_context_index.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/nbv_get_context.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/nbv_literature_index.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/nbv_literature_search.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/nbv_qmd_outline.py,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/nbv_qmd_outline.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-context/scripts/nbv_typst_includes.py,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/aria-nbv-mermaid/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/code-review-aria-nbv/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/code-review-aria-nbv/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/code-review-aria-nbv/references/upstream-mattpocock.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/counterfactual-rollout-planner/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/counterfactual-rollout-planner/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/dataset-cache-ops/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/dataset-cache-ops/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/diagnose-aria/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/diagnose-aria/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/diagnose-aria/references/upstream-mattpocock.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/docs-curator/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/docs-curator/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/entity-aware-rri/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/entity-aware-rri/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/aria-workflows.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/cheatsheet.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/decision-map.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/efm3d-aria-workloads.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/lrz-original-sources.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/service-desk-templates.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/slurm-job-patterns.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/storage-dss.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/references/troubleshooting-slurm.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/templates/sbatch_cpu_dataset_prep.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/templates/sbatch_multigpu_torchrun_aria.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/lrz-ai-systems/templates/sbatch_single_gpu_aria.sh,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/measured-autoresearch/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/measured-autoresearch/references/measurement-contract.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/nbv-geometry-contracts/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/nbv-geometry-contracts/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/plan-grill/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/plan-grill/references/plan-mode-theory-patterns.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/plan-grill/references/upstream-mattpocock.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/python-docstrings/SKILL.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/python-docstrings/agents/openai.yaml,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/python-docstrings/references/config-datamodel-fields.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/python-docstrings/references/cross-references.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/python-docstrings/references/quartodoc-contract.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/python-docstrings/references/theory-rich-docstrings.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
.agents/skills/python-docstrings/references/type-shape-jaxtyping.md,path,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain compact workflow routing only after activation/outcome measurement.,lexical lint plus runtime activation and task-outcome evaluation
