source,type,subject,final_state,target_pr,disposition,owner,reason,verification
03eb9ff787e2a45025080e4dcaae30945f7b08b7,commit,chore(graphify): sync prompt budget fix,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
cc9a3f481de828ea4ab2565349bc04e50110373b,commit,docs(thesis): consolidate scientific ownership,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
6fa2351ae17bfc0c660cd0b8c9f3858306db9592,commit,chore(graphify): refresh thesis ownership graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
f7102962ba12e92929b4fdcd6fb6519bf010d2ae,commit,docs(thesis): centralize notation and marker ownership,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
2030e4f380727c5504cb53f2103dc817ea35f084,commit,chore(graphify): refresh notation ownership graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
3621d96beb49167ae483cc56245abe88751a52b9,commit,docs(thesis): reuse shared equation owners,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
e83c216f5778cefeeadf182d23f3d31cb19affdd,commit,chore(graphify): refresh equation ownership graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
27b3afa531caad9eca771656f1a8e92eb4a3159d,commit,docs(thesis): centralize finite horizon targets,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
cf915b91c18d269cca4205da32566075d04d0566,commit,chore(graphify): refresh finite horizon graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
f6ca5ede1a88796295b040b57144f73368e6a36a,commit,fix(thesis): preserve history tensor notation,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
b5b68fcded484dfc7b9b9457bda755bfde782c9b,commit,chore(graphify): refresh history notation graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
dc6a5e2c1159f48d473e1fbd2c6900a3ce0c9544,commit,docs(thesis): enforce shared display notation,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
9d8fec5184843d7e0b71bc106d24225587ca0226,commit,chore(graphify): refresh shared display graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
042e466e3365cdc5a4bf5e3fcc4a4f9816c046bf,commit,refactor(graphify): use upstream query commands,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
71c011b3f6ac954dd78d8faf57e01ac5ded1d908,commit,chore(graphify): refresh upstream query graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
b41bf09ac533843ccc3d10e3286220a508a23705,commit,refactor(graphify): narrow canonical corpus,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
f34ec1667473bdacd51ebe9d0df108b71d198d91,commit,chore(graphify): refresh narrowed corpus graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
adc56e652d3d13ec6c0fbdbdba437fbef7774b29,commit,refactor(graphify): use native merge driver,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
17cf509f44340b1f92db01f915d2daad86944cf9,commit,refactor(graphify): adopt upstream-native graph adapter,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
4f82731de1e84d27ef2f6378a098551080aff8b7,commit,chore(graphify): refresh upstream-native graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
380f1d2450ceab247612d3e25d6bcb4ae4d6891a,commit,chore(graphify): reset native history boundary,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
94e5c296790f8880a8afe5e973f7ffae777c16f4,commit,chore(graphify): refresh native history boundary,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
90d98d4e1c72d6779a78827e1dc5ef6bd12f6dad,commit,fix(graphify): stabilize native clustering,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
b1d599fcec304262c713cb72eea83d385527cc67,commit,chore(graphify): refresh deterministic native graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
48dc707091da0f5e362545c2f5721a1b444a5dc8,commit,refactor(scaffold): remove generated navigation helpers,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
e0300562a558219924e62be698458e476efc3b87,commit,docs(autoresearch): restore mixed iteration loop,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
40a36caa7b6f5acae4ebb6b60201f332669d25b5,commit,refactor(scaffold): compact discovery and docs skills,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain only measured workflow routing.,PR3 runtime activation/outcome gates
64d8b196acaf27c3f942f88c21be0b8e2604ffde,commit,refactor(scaffold): compact operator skills,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain only measured workflow routing.,PR3 runtime activation/outcome gates
96c4fecfa528afe342939b699b7ff94217ed6ede,commit,refactor(scaffold): restore compact behavior routing,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain only measured workflow routing.,PR3 runtime activation/outcome gates
0ce5946a109a70f948e2215e4588d1ffb199be70,commit,chore(data): disposition inline inventory debt,final-net,PR5,defer-with-owner,Agents DB,Unrelated package debt remains with its existing backlog owner.,agents DB validation
25e2250a06435de12a594f202ec4ed25c0cd2e79,commit,chore(graphify): refresh inventory debt graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
fe601bd908642c23e72f60a01fdba2f67c7d0b9e,commit,docs(memory): record scaffold distillation,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Preserve historical evidence without restoring a truth layer.,PR2 migration/privacy/evaluation gates
b05d2e752aa595e4c0418bb655bfeb4ef5f7a71a,commit,fix(graphify): preserve validated source identity,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
b6454f5c4accf0f69b8096e6ebfa7cada47e0de4,commit,chore(graphify): refresh canonical graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
0f76e2d70fd7e5b67827272fde8ed5fa52ddee48,commit,docs(graphify): fix stale command routes,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
768434f6327df42c1178628e9eefd26c28db1bc8,commit,chore: apply mechanical script cleanup,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
6b6fa124fcbf9b13b05faefb5e21406278ccb469,commit,fix(graphify): honor configured partition patterns,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
5a37238da424767ab2451c1121f61d2ad08a94b4,commit,chore(graphify): refresh canonical graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
0a3de3f7619e67d2e91c692fc8458c8fa8dbb136,commit,fix(graphify): bind literature roots to config,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
0b751ee275d6af6b90d0bb6a78d36cb09aff6349,commit,chore(graphify): refresh canonical graph,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
b74d45d763977d18afe4ee9851ffd5f8b513bd5c,commit,docs(memory): record final G007 debrief,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Preserve historical evidence without restoring a truth layer.,PR2 migration/privacy/evaluation gates
e730fdc40c22f34a1ffec7be8069b973c358ab7a,commit,fix(scaffold): restore Typst authoring branches,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
7dde47bb6691c63697aab41461ad5df0ba960acc,commit,fix(scaffold): restore Typst authoring invariants,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
8c164876fa90a899f2029c63958b8b2f2343b7ac,commit,refactor(graphify): keep generated navigation local,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
0ac1e7c3c81c0614285f53cd7bb444bf402f3e81,commit,fix(graphify): link thesis references to source symbols,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
14fe639f29bcd757afb1c9b7ff0e16a65e717b05,commit,test(graphify): enforce useful native retrieval,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
4b6290912316050c860dac6526d0801d7107009c,commit,docs(memory): record Graphify retrieval simplification,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
67df2d72e60d4babc4632685dfd78d885ba22ea7,commit,test(graphify): avoid line-number coupling,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
f862f3c0448d8f0546f52195eb3eb66269201b13,commit,fix(graphify): build canonical native graph,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
e8abd9ac483a4240fcd1c108f77aa949e54af340,commit,fix(scaffold): restore explicit completion routing,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain only measured workflow routing.,PR3 runtime activation/outcome gates
fabbaae970b3cce6a220b97e95eb371e1c64e826,commit,fix(scaffold): reserve graphify for discovery,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
49cc7b68360e952238b72d8805dd916a059fee7e,commit,docs(memory): require todo disposition,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Preserve historical evidence without restoring a truth layer.,PR2 migration/privacy/evaluation gates
14c2122ab535b5ff489dd3d64a9f29c255857647,commit,docs(memory): record scaffold usefulness evaluation,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Preserve historical evidence without restoring a truth layer.,PR2 migration/privacy/evaluation gates
